Clasificación,Equipo,Puntos,PJ,PG,PE,PP,GF,GC,DF
Trigueros,125,50,87,62,38,35,6.900.000,2  4  9  2  -
Frenkie de Jong,124,56,51,51,73,61,10.010.000,5  10  6  1  -
Luis Javier Suárez,124,46,61,47,63,45,5.380.000,2  3  2  3  -
Brais Méndez,123,47,66,51,57,44,5.560.000,4  4  4  -1  -
Jorge Molina,123,49,63,57,60,43,4.300.000,3  3  2  2  -
Oyarzabal,122,58,56,51,66,66,14.160.000,15  2  4  5  -
Negredo,122,49,60,46,62,52,6.160.000,5  4  2  5  11
Aritz Elustondo,122,53,57,52,65,54,4.770.000,7  -  13  -1  -
João Félix,121,61,53,53,68,68,11.370.000,7  14  6  16  9
Espino,121,45,73,52,48,37,3.340.000,6  7  -  6  7
Jon Moncayola,120,46,63,45,57,48,4.420.000,13  2  3  1  -
Luis Milla,117,51,64,58,53,44,6.830.000,4  12  4  4  -
Mauro Arambarri,117,53,72,60,45,45,5.480.000,4  7  6  -  -
Lucas Torró,117,49,68,52,49,45,4.630.000,2  8  4  4  -
Javi Galán,117,43,57,41,60,46,4.330.000,4  9  2  1  -
Luís Maximiano,117,49,52,43,65,54,3.630.000,5  -1  10  -1  -
Willian José,116,50,68,57,48,44,8.210.000,2  8  2  2  -
Comesaña,116,46,72,60,44,34,4.620.000,4  2  2  3  -
Iñigo Martínez,115,55,55,55,60,55,6.600.000,-  6  0  7  -
Maksimovic,115,44,67,52,48,37,3.790.000,3  -  2  2  -
Nacho Vidal,115,46,54,42,61,51,2.610.000,4  5  5  7  -
Lucas Boyé,114,57,41,41,73,73,7.670.000,-  -  5  2  -
Sancet,114,52,57,52,57,52,6.030.000,3  14  0  2  -
Ronald Araujo,113,54,49,54,64,53,7.190.000,4  5  7  4  -
Catena,113,47,72,55,41,37,3.570.000,2  0  6  -  -
Joan Jordán,112,41,48,37,64,46,6.590.000,5  3  5  4  -
Piqué,112,51,48,48,64,53,6.540.000,-1  -  9  6  -
William Carvalho,112,49,53,44,59,54,6.110.000,15  4  2  4  -
Kike García,112,45,63,45,49,45,5.230.000,7  5  3  4  -
Alberto Moreno,111,48,55,55,56,43,5.230.000,2  1  -  2  -
Rafa Mir,110,44,63,53,47,36,7.310.000,9  10  2  2  -
Lemar,109,55,47,43,62,69,7.040.000,2  -  2  9  -
Leandro Cabrera,109,42,65,50,44,34,3.390.000,3  4  -1  15  -
Maffeo,109,44,56,43,53,44,3.280.000,1  6  5  1  -
Damián Suárez,108,45,51,43,57,48,4.810.000,2  1  2  -  -
Fran Beltrán,108,40,57,41,51,39,4.120.000,8  6  5  3  -
Unai Simón,108,47,39,39,69,53,3.900.000,1  7  -1  2  -
Raúl García,107,45,58,48,49,41,5.520.000,8  1  2  -  -
Dani Rodríguez,107,43,70,50,37,34,4.880.000,2  6  -1  3  -
Ezequiel Ávila,107,41,52,40,55,42,4.230.000,9  2  4  9  -
Fidel,107,47,60,60,47,36,4.210.000,3  4  3  11  -
Johan Mojica,107,41,55,42,52,40,4.150.000,3  2  1  4  -
Franco Cervi,107,41,61,44,46,38,4.100.000,4  14  2  3  -
Gerard Moreno,106,82,68,113,38,54,14.710.000,-  -  -  -  -
Danjuma,106,62,56,70,50,56,11.600.000,2  20  9  2  -
Mathías Olivera,106,48,66,55,40,40,4.310.000,-  -  5  1  -
Capoue,105,50,48,48,57,52,5.620.000,-  -  9  6  -
Fernando,104,43,50,42,54,45,5.170.000,2  6  4  -  -
David Soria,103,38,58,45,45,32,3.370.000,4  3  1  0  -
